id,geo_enabled,statuses_count,followers_count,friends_count,favourites_count,label,user_name_length,screen_name_length,description_length,follower_to_friends_ratio,reputation_score,lev_distance,age,tweet_to_age_ratio
1502026416,1.0,2177,208,332,265,0,15,8,21,0.6265060240963856,0.3851851851851852,15,9,241.88888888888889
2492782375,1.0,2660,330,485,3972,0,5,8,48,0.6804123711340206,0.4049079754601227,7,8,332.5
293212315,0.0,1254,166,177,1185,0,8,9,34,0.9378531073446328,0.4839650145772595,8,11,114.0
191839658,1.0,202968,2248,981,60304,0,17,11,58,2.291539245667686,0.6961907711365748,15,12,16914.0
3020965143,0.0,82,21,79,5,0,8,15,13,0.26582278481012656,0.21,14,7,11.714285714285714
2157382005,0.0,12915,641,1066,1568,0,2,12,151,0.6013133208255159,0.37551259519625074,11,9,1435.0
1947320929,1.0,13676,1042,2000,19012,0,9,15,37,0.521,0.3425378040762656,13,9,1519.5555555555557
255846106,1.0,61294,561,118,590,0,7,15,152,4.754237288135593,0.8262150220913107,8,11,5572.181818181818
1733095801,1.0,4854,337,256,1407,0,13,13,0,1.31640625,0.5682967959527825,3,9,539.3333333333334
1336097480,1.0,2408,421,338,2227,0,12,8,77,1.2455621301775148,0.5546772068511199,12,9,267.55555555555554
380322177,0.0,24581,335,276,10570,0,13,15,13,1.213768115942029,0.5482815057283142,13,11,2234.6363636363635
32988810,0.0,2132,232,225,101,0,20,13,119,1.031111111111111,0.5076586433260394,9,13,164.0
21959183,0.0,10354,1948,2096,3,0,13,7,130,0.9293893129770993,0.4817012858555885,13,13,796.4615384615385
1553611423,1.0,18484,271,216,8487,0,10,6,22,1.2546296296296295,0.5564681724845996,9,9,2053.777777777778
348080571,1.0,88,16,74,397,0,8,9,131,0.21621621621621623,0.17777777777777778,5,11,8.0
839690880,0.0,2418,1190,355,1092,0,6,8,49,3.352112676056338,0.7702265372168284,2,10,241.8
143687056,1.0,10839,7842,7836,8329,0,14,11,115,1.0007656967840735,0.5001913509376196,12,12,903.25
2291421004,0.0,4774,552,787,4029,0,20,13,21,0.7013977128335451,0.4122479462285287,19,8,596.75
2337494094,0.0,36,223,166,864,0,15,11,95,1.3433734939759037,0.5732647814910026,10,8,4.5
225241810,1.0,9412,303,325,7304,0,14,8,82,0.9323076923076923,0.482484076433121,13,12,784.3333333333334
375114767,1.0,55052,1978,197,7274,0,16,13,80,10.040609137055837,0.9094252873563219,14,11,5004.727272727273
52929021,1.0,69809,1605,969,12583,0,13,10,40,1.6563467492260062,0.6235431235431236,12,13,5369.923076923077
1657000316,1.0,7207,212,150,1877,0,5,8,0,1.4133333333333333,0.585635359116022,6,9,800.7777777777778
325967359,1.0,16677,1206,49,7008,0,16,5,63,24.612244897959183,0.9609561752988047,16,11,1516.090909090909
585912212,0.0,24163,435,320,676,0,3,6,9,1.359375,0.5761589403973509,3,10,2416.3
2419936286,1.0,45750,7644,359,54926,0,4,6,50,21.292479108635096,0.9551418218168187,2,8,5718.75
2320414572,1.0,1203,182,117,136,0,6,14,15,1.5555555555555556,0.6086956521739131,12,8,150.375
262531823,0.0,274989,9815,2190,40114,0,4,6,15,4.481735159817352,0.817576009995835,5,11,24999.0
226315121,0.0,11334,349,348,2465,0,5,10,85,1.0028735632183907,0.5007173601147776,5,12,944.5
492649414,1.0,72102,726,28,165,0,20,9,110,25.928571428571427,0.9628647214854111,19,10,7210.2
56554591,0.0,15525,879,667,153,0,5,12,22,1.31784107946027,0.5685640362225097,11,13,1194.2307692307693
85193539,1.0,31248,3205,2377,3650,0,12,8,115,1.3483382414808582,0.5741669652454318,11,13,2403.6923076923076
166211662,1.0,105025,543,327,49956,0,1,11,0,1.6605504587155964,0.6241379310344828,11,12,8752.083333333334
222290847,0.0,54,10,91,14,0,12,6,0,0.10989010989010989,0.09900990099009901,10,12,4.5
2765166293,1.0,371,90,147,363,0,2,9,18,0.6122448979591837,0.379746835443038,8,8,46.375
2497379616,0.0,2582,223,495,1668,0,16,9,0,0.4505050505050505,0.31058495821727017,9,8,322.75
69991603,0.0,427,75,77,279,0,5,8,71,0.974025974025974,0.4934210526315789,8,13,32.84615384615385
357747403,0.0,416,25,28,2,0,19,11,35,0.8928571428571429,0.4716981132075472,9,11,37.81818181818182
430285181,0.0,34627,661,498,15474,0,4,7,43,1.3273092369477912,0.5703192407247627,5,11,3147.909090909091
1141299306,1.0,25098,832,644,6107,0,5,12,27,1.2919254658385093,0.5636856368563685,11,9,2788.6666666666665
37407255,1.0,283536,7785,424,1157,0,15,7,84,18.360849056603772,0.9483493726397856,15,13,21810.46153846154
112295272,1.0,13634,697,103,5258,0,12,8,94,6.766990291262136,0.87125,6,12,1136.1666666666667
208664282,1.0,10339,385,200,72,0,15,13,134,1.925,0.6581196581196581,4,12,861.5833333333334
348393966,1.0,19390,385,252,11,0,16,9,0,1.5277777777777777,0.6043956043956044,10,11,1762.7272727272727
1245621752,1.0,1960,4910,1675,1043,0,12,11,118,2.9313432835820894,0.7456340167046317,1,9,217.77777777777777
329481796,0.0,2766,79,196,587,0,11,9,64,0.4030612244897959,0.2872727272727273,10,11,251.45454545454547
131043638,0.0,3114,28,32,1,0,20,13,157,0.875,0.4666666666666667,18,12,259.5
150183040,1.0,4236,249,278,1787,0,12,12,30,0.89568345323741,0.47248576850094876,0,12,353.0
91287122,1.0,33298,698,600,4037,0,17,10,67,1.1633333333333333,0.5377503852080123,12,13,2561.3846153846152
2244762307,0.0,378,173,312,27,0,3,12,12,0.5544871794871795,0.35670103092783506,9,9,42.0
344457551,0.0,46272,943,750,9355,0,10,12,135,1.2573333333333334,0.5569994093325458,12,11,4206.545454545455
2360378178,1.0,1043,81,77,2192,0,12,15,45,1.051948051948052,0.5126582278481012,10,8,130.375
398467095,1.0,5194,247,177,3173,0,1,14,0,1.3954802259887005,0.5825471698113207,14,11,472.1818181818182
2400711853,1.0,3547,1651,1754,1607,0,13,12,102,0.9412770809578107,0.48487518355359766,1,8,443.375
32494880,0.0,6127,1233,1166,97,0,12,11,132,1.0574614065180103,0.5139641517298874,7,13,471.3076923076923
2362812823,1.0,3450,159,124,5059,0,20,11,148,1.282258064516129,0.5618374558303887,14,8,431.25
509255384,1.0,8102,241,273,1067,0,16,11,129,0.8827838827838828,0.4688715953307393,16,10,810.2
86565348,1.0,51961,1401,1335,48065,0,16,10,139,1.049438202247191,0.5120614035087719,15,13,3997.0
250207934,0.0,23261,589,396,52,0,19,7,58,1.4873737373737375,0.5979695431472081,19,11,2114.6363636363635
238040058,1.0,14187,358,967,280,0,9,6,101,0.3702171664943123,0.270188679245283,7,11,1289.7272727272727
476876406,1.0,169053,1193,351,3439,0,7,12,158,3.398860398860399,0.7726683937823834,11,10,16905.3
190345460,1.0,3566,136,116,1330,0,15,13,45,1.1724137931034482,0.5396825396825397,2,12,297.1666666666667
1376257824,0.0,2366,157,388,287,0,18,13,139,0.40463917525773196,0.28807339449541286,17,9,262.8888888888889
714550385,1.0,639,120,64,407,0,19,15,77,1.875,0.6521739130434783,8,9,71.0
474152548,0.0,20291,1114,1292,11382,0,12,12,147,0.8622291021671826,0.4630091438071488,9,10,2029.1
1373517728,1.0,57768,348,389,13804,0,6,7,95,0.8946015424164524,0.47218453188602444,6,9,6418.666666666667
177906959,0.0,844,93,385,27,0,13,13,39,0.24155844155844156,0.19456066945606695,1,12,70.33333333333333
2248762537,1.0,7588,235,112,10979,0,2,12,108,2.0982142857142856,0.6772334293948127,11,9,843.1111111111111
462534253,1.0,20388,399,402,529,0,7,6,73,0.9925373134328358,0.49812734082397003,7,10,2038.8
93941188,0.0,2287,71,56,295,0,13,9,77,1.2678571428571428,0.5590551181102362,10,13,175.92307692307693
22437394,1.0,42077,763,97,922,0,19,11,38,7.865979381443299,0.8872093023255814,8,13,3236.6923076923076
1195136336,1.0,16948,244,246,5500,0,4,13,20,0.991869918699187,0.49795918367346936,10,9,1883.111111111111
1956659528,0.0,4655,281,421,2466,0,7,12,17,0.667458432304038,0.40028490028490027,10,9,517.2222222222222
1175224910,0.0,23875,2134,654,241,0,20,14,160,3.2629969418960245,0.7654232424677188,17,9,2652.777777777778
578904059,1.0,14537,865,250,0,0,16,15,135,3.46,0.7757847533632287,16,10,1453.7
454183646,1.0,8877,400,173,5293,0,6,11,8,2.3121387283236996,0.6980802792321117,7,10,887.7
318040219,1.0,5057,625,566,919,0,4,12,39,1.1042402826855124,0.5247691015952981,9,11,459.72727272727275
558782771,1.0,7135,202,300,299,0,15,13,27,0.6733333333333333,0.40239043824701193,13,10,713.5
1425572605,0.0,346,451,403,1875,0,5,12,23,1.119106699751861,0.5281030444964872,12,9,38.44444444444444
103668192,1.0,3629,269,187,1229,0,3,15,27,1.4385026737967914,0.5899122807017544,12,12,302.4166666666667
50034798,1.0,18745,553,1856,81,0,15,15,125,0.2979525862068966,0.22955583229555832,9,13,1441.923076923077
2574200442,1.0,9240,170,143,4567,0,7,7,0,1.1888111888111887,0.5431309904153354,1,8,1155.0
53114456,0.0,8318,884,250,137,0,13,12,142,3.536,0.7795414462081128,3,13,639.8461538461538
1495594020,0.0,1238,192,175,624,0,6,15,16,1.0971428571428572,0.5231607629427792,11,9,137.55555555555554
1387377110,1.0,2182,254,292,620,0,8,10,15,0.8698630136986302,0.4652014652014652,5,9,242.44444444444446
1892545526,1.0,9156,285,205,4088,0,5,11,15,1.3902439024390243,0.5816326530612245,7,9,1017.3333333333334
489714722,0.0,911,53,272,1177,0,8,9,0,0.1948529411764706,0.16307692307692306,3,10,91.1
278811330,1.0,38417,344,335,23322,0,13,13,48,1.026865671641791,0.5066273932253313,10,11,3492.4545454545455
64534012,1.0,13572,701,708,6970,0,5,14,159,0.9901129943502824,0.49751596877217885,10,13,1044.0
138472981,1.0,1523,87,195,66,0,11,11,26,0.4461538461538462,0.30851063829787234,1,12,126.91666666666667
1727495887,0.0,2055,142,129,489,0,1,11,0,1.1007751937984496,0.5239852398523985,11,9,228.33333333333334
440901699,0.0,24986,650,348,4907,0,16,15,14,1.867816091954023,0.6513026052104208,14,11,2271.4545454545455
185216671,1.0,21105,415,481,248,0,19,10,91,0.8627858627858628,0.46316964285714285,12,12,1758.75
32831822,1.0,19515,689,470,2463,0,7,13,107,1.4659574468085106,0.5944779982743744,7,13,1501.1538461538462
2938551012,0.0,1000,108,155,1326,0,20,15,62,0.6967741935483871,0.41064638783269963,12,8,125.0
241347721,1.0,2310,651,744,941,0,15,11,91,0.875,0.4666666666666667,15,11,210.0
20301520,0.0,1182,220,1040,1388,0,14,13,80,0.21153846153846154,0.1746031746031746,12,13,90.92307692307692
1191129162,1.0,615,2544,262,979,0,19,13,104,9.709923664122137,0.9066286528866714,19,9,68.33333333333333
49709134,1.0,21207,631,213,408,0,10,10,42,2.9624413145539905,0.7476303317535545,6,13,1631.3076923076924
58797847,1.0,37989,451,268,3140,0,6,7,97,1.6828358208955223,0.627260083449235,3,13,2922.230769230769
392080330,1.0,11452,389,297,5456,0,15,13,23,1.3097643097643097,0.5670553935860059,9,11,1041.090909090909
1120863444,1.0,43447,1068,822,8097,0,6,15,20,1.2992700729927007,0.5650793650793651,10,9,4827.444444444444
1261040287,1.0,17447,1953,1199,16715,0,4,14,87,1.6288573811509592,0.6196065989847716,13,9,1938.5555555555557
2257926470,1.0,15809,385,353,4688,0,3,9,18,1.0906515580736544,0.521680216802168,9,9,1756.5555555555557
96815122,1.0,3559,99,105,663,0,12,9,86,0.9428571428571428,0.4852941176470588,7,13,273.7692307692308
120833703,0.0,4059,599,585,105,0,8,9,156,1.0239316239316238,0.5059121621621622,7,12,338.25
58477691,1.0,87311,1878,1882,330,0,16,11,122,0.997874601487779,0.49946808510638296,7,13,6716.2307692307695
22798846,0.0,13635,665,1168,4724,0,10,12,127,0.5693493150684932,0.3627932351336607,3,13,1048.8461538461538
381753637,0.0,23799,462,272,4116,0,8,7,143,1.6985294117647058,0.6294277929155313,1,11,2163.5454545454545
2718118608,0.0,4282,32,114,6,0,11,13,159,0.2807017543859649,0.2191780821917808,12,8,535.25
581233948,0.0,36093,422,326,12075,0,3,14,97,1.294478527607362,0.5641711229946524,12,10,3609.3
1194760087,1.0,3028,1915,1804,1441,0,13,14,159,1.061529933481153,0.5149233664963699,3,9,336.44444444444446
3140424071,1.0,69,100,214,170,0,14,14,79,0.4672897196261682,0.3184713375796178,1,7,9.857142857142858
434832511,0.0,157,23,102,23,0,13,12,0,0.22549019607843138,0.184,3,11,14.272727272727273
517639654,1.0,6747,592,254,7636,0,19,11,49,2.3307086614173227,0.6997635933806147,15,10,674.7
468080275,1.0,5414,486,305,2526,0,12,9,18,1.5934426229508196,0.6144121365360303,6,10,541.4
622956477,0.0,5051,167,351,80,0,20,13,139,0.4757834757834758,0.3223938223938224,17,10,505.1
149723283,1.0,29146,1347,736,2728,0,11,13,129,1.830163043478261,0.6466634661545847,9,12,2428.8333333333335
742326175,1.0,9550,500,416,9175,0,9,15,91,1.2019230769230769,0.5458515283842795,14,10,955.0
2311184364,0.0,718,118,224,180,0,16,10,101,0.5267857142857143,0.34502923976608185,10,8,89.75
2251878995,1.0,5939,720,727,420,0,6,11,76,0.9903713892709766,0.497581202487906,11,9,659.8888888888889
2378140945,0.0,1271,14,38,62,0,4,8,0,0.3684210526315789,0.2692307692307692,4,8,158.875
519445792,1.0,28255,1439,755,1983,0,5,9,150,1.9059602649006622,0.6558796718322698,5,10,2825.5
2920448851,0.0,3259,175,116,1297,0,6,8,37,1.5086206896551724,0.6013745704467354,8,8,407.375
252882696,0.0,15595,1280,1985,3786,0,4,9,67,0.6448362720403022,0.39203675344563554,5,11,1417.7272727272727
41950696,1.0,549,508,892,401,0,11,11,101,0.5695067264573991,0.3628571428571429,1,13,42.23076923076923
2941150861,0.0,2583,280,337,4537,0,9,15,0,0.8308605341246291,0.4538087520259319,8,8,322.875
2204112777,1.0,44376,790,159,5517,0,17,13,41,4.968553459119497,0.8324552160168599,14,9,4930.666666666667
484522355,0.0,108575,15305,1543,11161,0,14,13,154,9.91898898250162,0.9084164292497626,14,10,10857.5
1874015534,0.0,1107,121,231,572,0,15,14,139,0.5238095238095238,0.34375,1,9,123.0
59689509,1.0,2713,61,52,1032,0,3,9,28,1.1730769230769231,0.5398230088495575,6,13,208.69230769230768
1897930380,0.0,811,34,351,656,0,17,15,0,0.09686609686609686,0.08831168831168831,10,9,90.11111111111111
58702972,0.0,5290,298,243,654,0,18,5,4,1.2263374485596708,0.5508317929759704,13,13,406.9230769230769
508355849,0.0,82094,7689,207,30086,0,5,15,40,37.14492753623188,0.9737841945288754,14,10,8209.4
3164941860,0.0,133,72,460,146,0,13,12,0,0.1565217391304348,0.13533834586466165,1,7,19.0
110122113,0.0,10221,458,395,1813,0,10,9,83,1.159493670886076,0.536928487690504,1,12,851.75
866157062,1.0,50540,3491,3296,19086,0,15,14,160,1.0591626213592233,0.5143656991306911,1,10,5054.0
231257304,1.0,95069,1045,350,49312,0,16,7,134,2.9857142857142858,0.7491039426523297,12,12,7922.416666666667
884366718,1.0,24117,788,405,6725,0,12,11,132,1.945679012345679,0.6605196982397318,1,10,2411.7
208913421,1.0,1303,147,138,71,0,14,6,100,1.065217391304348,0.5157894736842106,9,12,108.58333333333333
229875064,1.0,80,3,50,27,0,14,12,0,0.06,0.05660377358490566,9,12,6.666666666666667
341900539,1.0,8234,536,397,2684,0,10,14,70,1.350125944584383,0.5744908896034298,14,11,748.5454545454545
136245387,1.0,28655,462,290,413,0,10,8,157,1.5931034482758621,0.6143617021276596,7,12,2387.9166666666665
745638440,1.0,9561,417,258,1130,0,15,10,42,1.6162790697674418,0.6177777777777778,12,10,956.1
1544322560,1.0,44535,314,290,16169,0,15,11,157,1.0827586206896551,0.5198675496688742,12,9,4948.333333333333
1505023116,0.0,496,62,95,70,0,17,11,2,0.6526315789473685,0.39490445859872614,11,9,55.111111111111114
119112245,1.0,325,101,230,20,0,16,15,0,0.4391304347826087,0.30513595166163143,2,12,27.083333333333332
368134512,0.0,6877,247,838,1915,0,15,15,92,0.2947494033412888,0.22764976958525346,0,11,625.1818181818181
