,reply_settings,source,text,lang,referenced_tweets,created_at,conversation_id,author_id,id,public_metrics,in_reply_to_user_id
0,everyone,Twitter for iPhone,i could cry rn https://t.co/B6qhDD2YRt,en,"[{'type': 'quoted', 'id': '1530035615248617480'}]",2022-05-27T05:46:31.000Z,1530062876609761281,1473155256,1530062876609761281,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
1,everyone,Twitter for iPhone,do not hit my line Kenobi just dropped. https://t.co/Pgdyn39Q3M,en,,2022-05-27T03:58:12.000Z,1530035615248617480,1473155256,1530035615248617480,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",
2,everyone,Twitter for iPhone,@J0SHALLENN https://t.co/ekEAdiODCY,und,"[{'type': 'replied_to', 'id': '1530024647797915650'}]",2022-05-27T03:15:35.000Z,1530024526326677506,1473155256,1530024893336764416,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1507478474600112132
3,everyone,Twitter for iPhone,Kevon Rodman.,fi,,2022-05-27T03:14:08.000Z,1530024526326677506,1473155256,1530024526326677506,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
4,everyone,Twitter for iPhone,good tweet oh my god 😭🤣😹💯🔥 https://t.co/farV9wccjl,en,"[{'type': 'quoted', 'id': '1529533280080502787'}]",2022-05-26T20:58:40.000Z,1529930039445405711,1473155256,1529930039445405711,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
5,everyone,Twitter for iPhone,https://t.co/yYocCL3RmS https://t.co/iG1WLWzW5C,und,"[{'type': 'quoted', 'id': '1529927082968596492'}]",2022-05-26T20:53:16.000Z,1529928680650297344,1473155256,1529928680650297344,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
6,everyone,Twitter for iPhone,@YoungQington i have absolutely no idea,en,"[{'type': 'replied_to', 'id': '1529911462570905615'}]",2022-05-26T19:51:51.000Z,1529899838355255313,1473155256,1529913222505058320,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",736652591489253377
7,everyone,Twitter for iPhone,what https://t.co/c8kniDxRRD,en,"[{'type': 'quoted', 'id': '1529523609441652738'}]",2022-05-26T18:58:40.000Z,1529899838355255313,1473155256,1529899838355255313,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
8,everyone,Twitter for iPhone,RT @LeeHarv16814905: @ThePoniExpress @JRown32 @937theFan Not interesting in the slightest actually,en,"[{'type': 'retweeted', 'id': '1529895234955526144'}]",2022-05-26T18:45:31.000Z,1529896530735509514,1473155256,1529896530735509514,"{'retweet_count': 13, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
9,everyone,Twitter for iPhone,@dumbidiottt she’s too far gone,en,"[{'type': 'replied_to', 'id': '1529892800862597131'}]",2022-05-26T18:31:31.000Z,1529892054117101580,1473155256,1529893008006688769,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1439063991855325185
